Unnamed: 0,nframe_71212104600,absframe_71212104600,x0_71212104600,y0_71212104600,area_71212104600,yadj_71212104600,flower_71212104600,visit_num_71212104600,sx_71212104600,sy_71212104600,speeds_71212104600
283,283,73581,1007.0,892.0,520.0,892.0,3.0,1.0,1007.6666666666666,892.3333333333334,1.3743685418724616
284,284,73582,1005.0,893.0,529.0,893.0,3.0,1.0,1006.3333333333334,892.6666666666666,1.0
285,285,73583,1004.0,893.0,614.0,893.0,3.0,1.0,1005.3333333333334,892.6666666666666,1.7950549357116
286,286,73584,1002.0,894.0,654.0,894.0,3.0,1.0,1003.6666666666666,893.3333333333334,2.027587510099413
287,287,73585,999.0,892.0,614.0,892.0,3.0,1.0,1001.6666666666666,893.0,0.4714045207910048
288,288,73586,1003.0,892.0,665.0,892.0,3.0,1.0,1001.3333333333334,892.6666666666666,0.6666666666666288
289,289,73587,1002.0,892.0,622.0,892.0,3.0,1.0,1001.3333333333334,892.0,1.3333333333332575
290,290,73588,1003.0,892.0,641.0,892.0,3.0,1.0,1002.6666666666666,892.0,0.0
291,291,73589,1003.0,892.0,645.0,892.0,3.0,1.0,1002.6666666666666,892.0,0.7453559925000147
292,292,73590,1004.0,891.0,676.0,891.0,3.0,1.0,1003.3333333333334,891.6666666666666,1.4142135623730951
293,293,73591,1006.0,889.0,738.0,889.0,3.0,1.0,1004.3333333333334,890.6666666666666,1.4142135623730951
294,294,73592,1006.0,889.0,707.0,889.0,3.0,1.0,1005.3333333333334,889.6666666666666,1.666666666666606
295,295,73593,1007.0,887.0,769.0,887.0,3.0,1.0,1006.3333333333334,888.3333333333334,0.7453559924999638
296,296,73594,1007.0,887.0,765.0,887.0,3.0,1.0,1006.6666666666666,887.6666666666666,0.3333333333333712
297,297,73595,1006.0,890.0,650.0,890.0,3.0,1.0,1006.6666666666666,888.0,0.7453559925000147
298,298,73596,1009.0,886.0,708.0,886.0,3.0,1.0,1007.3333333333334,887.6666666666666,1.054092553389436
299,299,73597,1010.0,886.0,749.0,886.0,3.0,1.0,1008.3333333333334,887.3333333333334,1.4142135623730951
300,300,73598,1009.0,887.0,845.0,887.0,3.0,1.0,1009.3333333333334,886.3333333333334,1.490711984999775
301,301,73599,1013.0,888.0,643.0,888.0,3.0,1.0,1010.6666666666666,887.0,0.6666666666667425
302,302,73600,1012.0,886.0,647.0,886.0,3.0,1.0,1011.3333333333334,887.0,1.6996731711975652
303,303,73601,1014.0,888.0,634.0,888.0,3.0,1.0,1013.0,887.3333333333334,0.9428090415820096
304,304,73602,1015.0,890.0,734.0,890.0,3.0,1.0,1013.6666666666666,888.0,2.23606797749979
305,305,73603,1015.0,892.0,781.0,892.0,3.0,1.0,1014.6666666666666,890.0,4.123105625617661
306,306,73604,1017.0,900.0,980.0,900.0,3.0,1.0,1015.6666666666666,894.0,4.447221354708815
307,307,73605,1018.0,903.0,1104.0,903.0,3.0,1.0,1016.6666666666666,898.3333333333334,5.011098792790972
308,308,73606,1016.0,907.0,1004.0,907.0,3.0,1.0,1017.0,903.3333333333334,1.7950549357114522
309,309,73607,1015.0,905.0,713.0,905.0,3.0,1.0,1016.3333333333334,905.0,4.216370213557815
310,310,73608,1022.0,915.0,1072.0,915.0,3.0,1.0,1017.6666666666666,909.0,5.517648452415632
311,311,73609,1023.0,922.0,970.0,922.0,3.0,1.0,1020.0,914.0,6.472162612982543
312,312,73610,1026.0,921.0,604.0,921.0,,,1023.6666666666666,919.3333333333334,4.678556282539357
313,313,73611,1021.0,929.0,1002.0,929.0,,,1023.3333333333334,924.0,4.216370213557851
314,314,73612,1027.0,934.0,1092.0,934.0,,,1024.6666666666667,928.0,1.4907119849998258
315,315,73613,1028.0,925.0,691.0,925.0,,,1025.3333333333333,929.3333333333334,4.013864859597435
316,316,73614,1033.0,928.0,967.0,928.0,,,1029.3333333333333,929.0,2.9814239699998044
317,317,73615,1035.0,930.0,1439.0,930.0,4.0,1.0,1032.0,927.6666666666666,2.357022603955265
318,318,73616,1033.0,930.0,1522.0,930.0,4.0,1.0,1033.6666666666667,929.3333333333334,2.3570226039550244
319,319,73617,1038.0,933.0,1591.0,933.0,4.0,1.0,1035.3333333333333,931.0,1.201850425154642
